,text
829,tara spoke thus arjuna indeed prince gods also time disappeared brihannala virata ’ hall assembly leading citizens gathered celebrate king ’ victory prince ’ kanka valala cook brihannala tantripala dharmagranthi responsible victories arrived also entering 
830,hall surprise everyone sat among princes unbid explained conduct saying humbler folk rendered invaluable service critical time really deserved recognition virata entered court seeing kanka sanyasin cook others seated places reserved princes nobility king l
831,ost temper gave loud vent displeasure felt enough fun pandavas discl osed identity amaze ment present virata beside joy think pandava princes panc hali ministering days disguise embraced kanka exuberant gratitude made formal surrender kingdom course immedi
832,ately receiving back thanks virata also insisted give daughter marriage arjuna arjuna said “ would proper princess learnt dancing music teacher position father ” however agreed accept son abhimanyu meanwhile envoys arrived wicked treacherous duryodhana mes
833,sage yudhishthira “ son kunti ” said “ duryodhana feels sorry owing hasty action dhananjaya go back woods let recognised end thirteenth year accordance undertaking dwell forest another twelve years ” dharmaputra laughed said “ messengers return quickly dur
834,yodhana tell make enquiry venerable bhishma others learned stars doubt tell full thirteen years completed befor e forces heard twang dhanan jaya ’ bow fled fear ” chapter xlviii taking counsel thirteenth year pandavas remain undiscovered came end longer ob
835,liged disguise left virata capital pandavas settle openly upaplavya another place matsya territory sent emissaries summon friends relatives dwaraka came balarama krishna arjuna wife subhadra son abhimanyu accompanied many yadava warriors loud long blare tr
836,umpet conchs matsya prince pandavas went forth receive janardana indrasena many others like beginning preceding year left pandavas forest rejoined chariots upaplavya kasi prince saibya ruler arrived forces drupada panchala prince three divisions bringing s
837,ikhandin draupadi ’ sons brother dhrishtadyumna many princes gathered upaplavya well attached pandavas abhimanyu ’ marriage princess uttara solenmized according vedic rites illustrious gathering friendly heroes wedding celebrations met conclave virata ’ ha
838,ll assembly krishna sat next yudhishthira virata balarama satyaki seated beside drupada bustle died eyes turned krishna rose speak “ know ” said krishna hushed assembly “ story great deceit yudhishthira cheated game board deprived kingdom exiled brothers d
839,raupadi forest thirteen years sons pandu patiently borne trouble redemption pledged word ponder well counsel course consonance dharma contribute glory welfare pandavas kauravas dharmaputra desires nothing justly claim wishes nothing good even sons dhritara
840,shtra deceived grievous wrong giving counsel bear mind fraud meanness kaura vas ‘ well honourable magnanimity pandavas devise andhonourable settlement know duryodhana mind feel send able upright emissary persuade peace ful settlement restoration half kingd
841,om yudhishthira ” balarama rose address gathering “ heard krishna ” said “ solution propounds wise endorse good duryodhana dharmaputra kunti ’ sons get back kingdom peaceful settlement nothing could better kauravas concerned happine ss peace land someone g
842,o convey duryodhana yudhishthira ’ wish peaceful settlement bring answer man weight ability bring peace good understanding “ envoy get co operation bhishma dhritarashtra drona vidura kripa aswat thama even karna sakuni possible secure support kunti ’ sons 
843,one account would give way anger dharmaputra full knowledge consequences staked kingdom lost obstinately disregarding expostulations friends fully aware match adept sakuni yet played cann ot complain supplicate rights fit envoy would one warmonger dead set
844, spite every difficulty achieving peaceful settlement princes desire approach duryodhana tactfully make peace let us avoid armed conflict means power accrues peace worthwhile war nothing wrong issue ” balarama ’ position yudhishthira knew gambled away king
845,dom could claim right fulfilment conditions exile could give pandavas personal freedom kingdom say need serve another term exile forest gave right return kingdom dharmaputra could supplicate return lost claim right balarama relish armed conflict among scio
846,ns family rightly held war would lead disaster poet puts eternal truth balarama ’ mouth satyaki yadava warrior heard balarama speak thus could contain rose anger spoke indignantly “ balarama ’ words strike least degree one skilful enough make plausible ple
847,a case skill world convert wrong right injustice justice must protest balarama ’ stand fills disgust see one tree one branch bowed fruit another sticking gaunt useless brothers krishna speaks words breathe spirit dharma balarama ’ attitude unworthy giant d
848,oub ted kauravas cheated yudhishthira share kingdom allowing keep unjust confirming thief possession booty one finds fault dharmaputra cowardly fear duryodh ana sound reason princes forgive harsh speech volition kaurav pressed invited inexpert unwilling dh
849,armaputra play sharper game fraught disaster bow supplicate duryodhana fulfilled pledges yudhishthira mendicant need beg kept word brothers twelve years exile forest twelve months thereafter disguise according pledge yet duryodhana associates shamelessly d
850,ishonestly question performance shall defeat impudent villains battle shall either seek yudhishthira ’ pardon meet doom righteous war wrong case sin slaying enemies take arms fight supplicate enem incur disgrace duryodhana desires war shall quite ready let
851, delay let us get preparations duryodhana going part territory without war would folly waste time ” drupada ’ heart gladdened satyaki ’ resolute words rose said “ satyaki right support soft words bringduryodhana round reason let us continue preparations wa
852,r let friends warned withou loss time bring forces send word instantly salya dhrish taketu jayatsena kekaya must course send suitable envoy dhritarashtra learned brahmana conducts religious ceremoni es court sent hastinapura confidence instruct well say du
853,ryodhana convey message bhishma dhritarashtra dronacharya ” drupada concluded vasudeva krishna son vasudeva rose addressing drupada said “ suggest practicab le also conforms kingly code baladeva bound kauravas pandavas equal ties affection came princess ut
854,tara ’ wedding return city great among princes land alike age wisdom entitled advise us dhritarashtra holds high esteem drona kripa boyhood friends therefore right instruct brahmana envoy mission peace fails persuade duryo dhana error prepare inevitable co
855,nflict friends send word us ” conference ended krishna left dwaraka people pandavas allies went preparations messengers went forth friendly princes got busy mobilised respective armies meanwhile duryodhana brothers idle also began preparing coming conflict
856, sent word friends get contingents ready war news preparations sides soon spread throughout land “ constant rapid journeyings back forth princ es caused great stir everywhere earth shook beneath heavy tramp marching legion ” says poet would appear even old
857,en days military preparations made much way times drupada called brahmana said “ know duryodhana ’ bent mind well qualities pandavas go theemissary pandavas kauravas deceived pandavas connivance father dhritarashtra would listen sage advice vidura show old
858, weak king misled son path dharma wisdom find vidura great ally task mission may lead differences opinion among elder statesmen bhishma drona kripa well among war lords happens time differences smoothed time gained completion pandavas ’ war preparations lo
859,ng duryodhana ’ capital talkin g peace preparations war receive set back good pandavas ’ standpoint miracle able come back good terms peace much better expect duryodhana agree peaceful settlem ent still send one peace mission advantageous us ” dece mber ja
860,panese carrying negotiations americans immediately breakdown talks took unawares attacked pearl harbour destroying naval forces drupada ’ instru ctions brahmana would show new technique even old days method followed carrying negotiations even sincerely wor
861,king peace simultaneously preparing unremitting vigour outbreak war carrying peace talks object creating dissens ions enemy ’ ranks nothing new sun chapter xlix arjuna charioteer sent drupada ’ brahmana hastinapura peace mission pandavas sent word time pri
862,nces likely favour cause collect forces hold readiness war dwaraka arjuna went understood spies turn events taking duryodhana remain idle learning vasudeva krishna back home city sped towards dwaraka chariot fast swiftest horses could take two arjuna duryo
863,dhana thus reached dwaruka day krishna fast asleep becaus e close relatives arjuna duryodhana could go bedroom waited krishna wake duryodhana went first seated decorated throne—chair head bed arjuna kept standing foot arms folded respectful posture mahadev
864,a woke eyes fell arjuna stood front gave warm welcome turning duryodhana welcomed asked brought dwaraka duryodhana first speak “ looks ” said “ though war would break us soon must support arjuna equally beloved claim equal ly close relationship say either 
865,us nearer came arjuna tradition came first shown preference janardana greatest among great incumbent set example others confirm conduct traditional dharma remember came first ” purushottama krishna answered “ son dhritarashtra may came first kunti ’ son sa
866,w immediately waking first arrival arjuna first caught eye even respect claims equal therefore bound render assistance sides distribut ing favours traditional usage begin junior among recipients would therefore offer choice arjuna first narayanas tribesmen
867, equals battle constitute host large almost invincible distribution assistance one side individually shall wield weapon take part actual fighting ” turning arjuna said “ part ha think well would want alone weaponless would prefer prowess narayanas exercise
868, right first choice custom gives younger man ” scarcely krishna finished arjuna said reverence without hesitation “ would content us though may wield weapon duryodhana could hardly conta joy thought arjuna ’ imbecile choice gladly chose help vasudeva ’ arm
869,y request granted please acquisition mighty force duryodhana went baladeva told story finished speaking mighty balarama said “ duryodhana must told said time marriage virata ’ daughter pleaded case urged everything could said often told krishna equal ties 
870,kauravas pandavas words failed carry conviction helpless impossible side one krishna opposes help partha support krishna duryodhana come illustrious line respected princes land well must war bear accordance kshatriya code ” said duryodhana returned hastina
871,pura high spirits saying “ arjuna made fool great army dwarak fight side balarama ’ good wishes vasudeva left without army ” “ dhananjaya choose thus unwisely preferring alone unarmed fully equipped heroic forces ” asked krishna arjuna smile alone arjuna a
872,nswered “ ambition achieve glory even like power prowess face allthe princ es land hordes batttle single handed feel desire win battle driving chariot unarmed desired long today fulfilled wish ” vasudeva smiled pronounced benediction “ trying compete may s
873,ucceed ” pleased arjuna ’ decision sacred story krishna became partha ’ charioteer chapter l salya nephews salya ruler madradesa brother mudri mother nakula saha deva heard pandavas campin g city upaplavya making preparations war collected big army set tow
874,ards city join pandavas salya ’ army large halted rest encampment extended length nearly fifteen miles news salya marching forces reached duryodhana deciding salya somehow persuaded join side instructed officers provide great army facilities treat sumptuou
875,s hospitality accordance duryodhana ’ instruction several beautifully decorated resthouses erected several places route sulya men treated wondrous hospitality food drink lavishly provided salya exceedingly pleased attentions paid assumed arranged nephew yu
876,dhishthira salya ‘ army marched earth shaking beneath heavy strides feeling pleased hospitality called waiting attendants one day said “ must reward treated soldiers much love attentio n please tell kunti ’ son let bring consent ” servants went told master
877, duryodhana duryodhana time moving unobserved party waiting salya soldiers took opportunity present salya say honoured felt salya ’ acceptance kaurava hospitality amazed salya till suspicion truth also touched chivalry duryodhana lavishing kingly hospitali
878,ty partisan pandavas greatly moved exclaimed “ noble kind repay ” duryodhana replied “ forces fight side reward ask ” salya stunned puranas wherein right cond uct always preached sometimes set stories conduct conformity dharma seems condoned right one may 
879,ask religious books thus seem justify wrong little reflection enable one see matter proper light necessary bring home fact even wise good great men liable fall error puranas although ever seeking instil dharma contain narratives show world even good people
880, sometimes sin dharma though irresistibly driven press home truth howsoever learned one may humility constant vigilance absolutely necessary one wishes avoid evil indeed great authors epics write lapses rama ramayana yudhishthira mahabharata need make ment
881,ion labour arguments explain away thereby disturbing men ’ minds though others discovered lapses v yasa v almiki defend heroes stories artistic creations lapses impress desired moral parts dealing lapse deeply distress readers mind serve solemn warnings pi
882,tfalls wait engulf careless dispose mind humility watchfulness make realise need divine guidance modern cinema also proje cts screen much bad immoral whatever may explanation offered protagonists cinema evil presented screen attractive fashio n grips peopl
883,e ’ minds tempts path wickedness puranas although point even great men fell error committed wron g presentation warn reader allure evil ways striking difference epics modern talkies arises difference character people produced “ unto us must mean much panda
884,vas ou must agree come aid said duryodhana salya answered “ ” flattered duryodhana ’ splendid reception salya deserted pandavas entitle love esteem pledged word fight duryodhana ’ side shows dangers may lurk receiving hospitality kings feeling would right 
885,go back without meeting yudhishthira salya turned duryodhan saying “ duryodhana believe given word honour must however meet yudhishthira tell done ” “ go see return soon forget promise ” said duryodhana “ good luck go back palace betray ” saying salya went
886, city upaplavya udhishthira camping pandavas received ruler madra great eclat nakula sahadeva joyous beyond measure see uncle pandavas narrat ed hardships sufferings started talking obtaining help war impending salya related story promise duryodhana yudhis
887,h thira saw mistake taken salya ’ assistance granted thereby letting duryodhana forestall concealing disappointment best could udhishthira addressed salya thus “ great warrior bound keep promise made duryodhana equal vasudeva battle karna chario teer seeks
888, arjuna ’ life battlefie ld going cause arjuna ’ death going save know fairly ask still ” salya rejoined “ lad tricked giving duryodhana word shall ranged battle karna proceeds attack arjuna happen chariote er may take go battle disheartened arjuna shall s
889,aved fear sorrows insults visited draupa di soon avengedmemory henceforth good luck one prevent alter ordained fate acted wrongly bear ” chapter li vritra indra lord three regions drunk pride quite forgot courteous manners forms gods hitherto observed brih
890,aspati preceptor gods foremost branches learning venerated alike gods asuras came court indra rise seat receive acharya ask seated failed customary honours great conceit indra persuaded himse lf believe sastras allowed king court prerogative receiving gues
891,ts seated brihaspati hurt indra ’ discourtesy attributing arrogance prosperity silently left assembly without high prie st gods court lost splendour dignity became unimpressive gathering indra soon realized foolishn ess conduct sensing trouble acharya ’ di
892,spl easure thought make falling feet asking forgiveness could brihaspati anger made invisible preyed indra ’ mind brihaspati gone indra ’ strength began decline asuras increased encouraged latter attack gods brahma taking pity beleaguered gods advised take
893, unto new acharya said “ indra ’ folly lost brihaspati go twashta ’ son visvarupa request noble spirit preceptor well ” heartened words gods sought youthful anchorite v isvarupa made request saying “ though young years well versed v edas us honour teacher 
894,” visvarupa agree great advantage gods result guidance teaching saved harrying asuras visvarupa ’ mother asura clan daityas caused indra regard visvarupa suspici feared birth visvarupa migh quite loyal suspicion gradually deepened apprehending danger desce
895,ndent enemies thegods indra sought entice error temptresses court weaken spiritually visvarupa succumb artful seductive blandishments indra ‘ glamour girls effect young ascetic held fast vow celibacy indra found plan seduction failed gave way murderous tho
896,ughts one day killed v isvarupa v ajrayudha story goes world suffers vicariously great sin indra resul parts earth turned alkaline became unsuitable cultivation women came afflicted physical troubles uncleanness pecul iar frothing water also attributed twa
897,shta great rage grief indra ’ cruel killing son desirous avenging death performed great sacrifice sacrificial flame sprang indra ’ mortal enemy vritra twashta sent chief gods saying “ enemy indra may strong may kill indra ” great battle raged two vritra ga
898,ining upper hand battle going indra rishis gods sought refuge great vishnu offered protection said “ afraid shall enter indra vajrayudha win battle end ” returned good heart went vritra said “ please make friends indra equal strength valour vritra respectf
899,u lly answered “ blameless ones indra become friends forgive friendship rivals supremacy two great powers co exist know ” rishis said reply “ entertain doubts two good souls friends friendship enduring quality ” vritra yielded saying “ well shall cease fig
900,hting faith indra might take unawares seek boon namely neither day night neither dry weapons wet ones neither stone wood metals arrows shall indra able take life ” “ ” said rishis gods hostilities ceased soon vritra ’ fears confirmed indra feigned friendsh
901, ip vritra time waiting suitable opportunity slay one evening met vritra beach began attack twilight battle raged long vritra praising lord vishnu said indra “ meanest mean use unfailing vajrayudha hallowed hari use shall attain blessedness hari ” indra ma
902,imed vritra chopping right arm nothing daunted latter hurled left hand iron mace assailant thereupon cut arm also indra disappeared mouth vritra great consternation gods indra dead ripped vritra ’ belly open issuing forth went nearby beach directing thunde
903,rbolt water hurled surf flew hit vritra vishnu entered foam became deadly weapon mighty v ritra lay dead long battle thus ended afflicted world heaved sigh relief indra end war brought ignominy victory secured sin deceit went hiding sheer shame indra ’ dis
904,appearance caused gods rishis great distress people without king coun cil state govern prosper went good mighty king nahusha offered crown “ forgive king aspire seat indra protect impossible ” humbly objecte insisted saying “ hesita te anointed king merit 
905,potency penance addition strength power energy everyone set eyes shall transferred invincible thus powered agreed revolution new thing story shows even world gods revolution leading indra dethronement nahusha ’ sinstallation king stead story nahusha ’ fall
906, also instructive chapter lii nahusha sin unrighteous slaughter vritra pulled indra high estate made fugitive nahusha became king gods stead nahusha started well assisted merit fame earned king earth thereafter fell evil days assumption kingship gods fille
907,d arrogance lost humility became filled lawless desires nahusha indulge freely pleasures heaven gave untamed lecherous thoughts one day saw indra ’ wife became enamoured possessed evil thoughts spoke tones command assembled gods “ sachidevi wife king gods 
908,come king gods send house soon ” learn indra ’ wife indignant fear distress went brihasp ati cried “ preceptor save wicked person ” brihaspnti offered protection “ fear ” said “ indra soon back stay ou regain husband ” nahusha learnt sachidevi agree fall w
909,ishes sought obtained shelter brihaspati ’ roof became exceedingly angry king ’ displeasure frighten ed gods protested “ king gods angry anger make world sad sachidevi another ’ wife covet swerve path righteousness ” infatuated nahusha would listen tauntin
910,gly said “ indra lusted ahalya principles righteousness good conduct prevent stop shamelessly murdered visvarupa latter penance virtuous horror killed vritra deceit sachidevi ’ onlycourse come live good get reconciled proposal leave charge set ” ordered na
911,husha affrighted gods decided talk matter brihaspati somehow contrive bring sachidevi nahusha went brihaspati related nahusha said pleaded sachidevi submit nahushas ’ desires whic h chaste sachidevi shook shame fear cried “ god sought refuge oh brahmana pr
912,otect ” brihaspati consoled said “ betrays one sought refuge meet destruction earth let seed sows sprout give nahusha ’ end approaching afraid ” indicated way escape difficult situation hinting pray time shrewd sachidevi took hint bravely went nahusha ’ pa
913,lace soon nahusha saw pride lust deprived senses beside joy said “ fair one tremble lord three regions sin becoming wife ” hearing wicked man ’ words virtuous indrani indra ’ wife trembled moment soon regaining composure replied “ king gods become request 
914,make indra alive dead alive making enquiries searching find sin attach could become wife clear conscience ” nahusha said “ say right go search sure return remember plighted word ” saying sent back brihaspati ’ house gods went great vishnu complained nahush
915,a said “ lord might killed vritra indra bears sin ashamed afraid show unclean state hidden pray indicate way deliverance ” narayana saidin reply “ let worship cleansed sin evil minded nahusha meet destruction ” sachidevi prayed goddess chastity grace reach
916,ed indra hiding indra reduced size atom hid fibre stem lotus plant growing manasarovar penance state waiting better days sachidevi could contain sorrow husband ’ plight burst tears acquainted troubles indra spoke words courage “ nahusha ’ end drawin g near
917, said “ go tell consent proposal ask come residence palanquin carried ascetics nahusha destroyed ” sachidevi went pretended agree nahusha ’ proposal indra asked overjoyed returned complaisant mood foolish nahusha burst “ blessed one slave ready every biddi
918,ng ou true word ” “ yes come back husband want something whic h much desire lord world wish come majestically house grander style great vishnu rudra asuras let palanquin borne seven rishis shall glad receive bid welcome ” said nahusha fell trap “ grand ide
919,a imagination wonderful pleases excee dingly meet great rishis carry blesse powers absorbing energy eyes fall shall exactly wished ” said sent back home infatuated nahusha called rishis bade carry shoulders sacrilege three worlds aghast trembled worse come
920, palanquin carried along inflamed thoughts beautiful sachidevi waiting nahusha impatient reach soon began goading rishi bearers palanquin go faster went far mad wickedness kick agastya one bearers saying “ sarpa sarpa ” ‘ sarpa ’ means ‘ move ’ ‘ sarpa ’ a
921,lso serpent insanity lust arrogance reached culmination—nahusha ’ cup iniquity full “ meanest mean thou fall heaven becom e sarpa earth ” cursed rishi wrath immediately nahusha fell head long clown heaven became python jungle wait several thousand years de
922,liverance indra resto red state became king gods sachidevi ’ grief ended relating story sufferings indra wife yudhishthira draupadi upaplavya uncle salya tried comfort “ victory awaits patient prosperity makes arrogant meet destruction brothers draupadi go
923,ne untold sufferings like indra wife trials soon wiil regain kingdom evil minded karna duryodhana destroyed even nahusha ” said salya chapter liii sanjaya ’ mission pandavas camping upaplavya virata ’ territory sent emissaries friend ly rulers contingents 
924,arrived parts country soon pand avas mighty force seven divisions kauravas likewise collected army eleven divisions division made arms grouped together accordance established military practice days division consisted chariots equal number elephants thrice 
925,many horses five times many foot soldiers provided weapons kinds war equipment chariots “ armoured cars ” ancient warfare elephants specially trained war corresponded “ tanks ” modern times drupada ’ brahmana messenger reached dhritarashtra ’ court usual c
926,eremonial introduction enquiries messenger addressed assembled gathering behalf pandavas “ law eternal inherent validity know need point dhritarashtra pandu vichitravirya ’ sons according usages equally entitled father ’ property spite dhritara shtra ’ son
927,s taken possession whole kingdom pandu ’ sons without share common inheritance justification scions kuru dynasty pandavas desire peace prepared forget sufferings gone let bygones bygones unwilling resort war fully know war never brings good destruction ren
928,der unto therefore things due would accordance justice agreement previously reached let delay ” appea l messeng er wise brave bhishma spoke “ grace god ” said “ pandavas safe well although obtained support many princes strong enoug h battle bent war still 
929,seek peace restore property right thing ” bhishma finished karna angrily broke turning messenger exclaimed “ brahmana anything new said boots tell old story yudhishthira claim property lost game board yudhishthira wants anything must beg gift arrogantly re
930,fers absurd claim fond reliance strength allies—particularly matsya panchala let tell clearly nothing got duryodhana threats plighted word panda vas live undiscovered thirteenth year broken must go back forest another twelve years return thereafter ” bhish
931,ma interpo sed “ son radha speak foolishly messenger tells us war upon us certain defeated duryodhana us doomed destruction ” disorder excitement assembly made dhritarashtra intervene said messenger “ mind good world considering pandava ’ welfa decided sen
932,d sanjaya please return tell yudhishthira ” dhritarashtra called sanjaya aside instructed thus “ sanjaya go sons pandu convey affectio nate regards kind enquiries krishna satyak virata give princes assembled regards go behalf speak conciliatingly secure av
933,oidance war ” sanjaya went yudhishthira mission peace introductory salutations sanjaya thus addressed yudhishthira midst court “ dharmaputra good fortune able see eyes surrounded princes present picture indra sight gladdens heart king dhritarashtra sends b
934,est wishes desires know well happy son ambika detests talk war desires friendship yearns peace ” dharmaputra heard sanjaya say felt glad answered “ dhritaras htra ’ sons saved nay escaped great tragedy desire peace hate war kingdom returned us wipe memorie
935,s sufferings gone ” sanjaya spoke “ dhritarashtra ’ sons perverse disregarding father advice grandsi ’ wise words still wicked ever lose patience yudhishthira stand ever right conduct let us eschew great evil war happines gained possessions obtained throu 
936,gh war good reap kingdom killing relatives therefore commence hostilities even one gain whole earth bounded ocean old age death inescapable duryodhana brothe rs fools reason swerve rectitude lose patience even give back kingdom abandon supreme path dharma 
937,” yudhishthira answered “ sanjaya say true rectitude best possessions committing wrong krishn knows intricacies rectitude dharma wishes sides well shall v asudeva orders ” krishna said “ desire welfare pandavas desire also dhritarashtra sons happy difficul
938,t matter think settle issue going hastinapura could obtain peace kauravas terms conflict welfare pandavas nothing would make happier succeed kauravas rescue jaws death shall also achieved something good worthwhile even peaceful settlement pandavas get back
939, due still serve dhritarashtra loyally desire nothing else also prepared war need two alternatives peace war dhritarashtra choose pleases ” yudhishthira said sanjaya “ sanjaya go back kaurava court tell son ambika ‘ generosity obtained share kingdom young 
940,made king deny us share drive us make beggar ’ living charity others dear uncle enough room world us kauravas let antagonism therefore us ’ thus request dhritarashtra behalf give grandsire love regards ask devise way ensuring grandchildren live happily ami
941,ty convey message vidura also vidura person best see good us advise accordingly explain matters duryodhana tell behalf ‘ dear brother made us princes realm live forest clad skins insulted harassed weeping wife assembly princes bore patiently give us back l
942,east lawfully covet belongs others five five us give least five villages make peace us shall content ’ say thus duryodhana sanjaya prepared ready peace well war ” yudhishth ira said words sanjaya took leave kesava pandavas went back hastinapura dhritarasht
943,rachapter liv needle point territory despatched sanjaya pandavas dhritarashtra filled anxiety could get wink sleep night sent vidura spent whole night talking “ give pandavas share kingdom safest plan ” said vidura “ bring good sides treat pandavas sons eq
944,ual affection case right course also wise one ” vidura counselled dhritarashtra manner great length next morning sanjaya retur ned hastinapura gave full account taken place udhishthira ’ court “ chiefly duryo dhana know arjuna said ‘ krishn going destroy d
945,uryodhana followers root branch make mistake gandiva impatient war bow string throbbing even without stretching quiver arrows keep peeping impatiently deman ding sanjaya evil stars make foolish duryodh ana seek war krishna even indra gods defeat us ’ thus 
946,spoke dhananjaya said sanjaya bhishma counselled dhritarashtra opposing combined might arjuna krishna “ karna boasts repeatedly slay pandavas ” said bhishma “ equal sixteenth part pandavas sons heading destruction listening words arjuna beat back son ’ att
947,ack virata ’ capital humbled pride karna able gandharvas took son prisoner invincible karna hide arjuna drove back gandharvas ” thus bhisma taunt karna warn kauravas “ pater familias says proper thing ” said dhritarashtra “ wise men say know best seek peac
948,e fools would go way however loudly protest ” duryodhana listening stood “ father worry tremble safety know strong shall win certain yudhishthi ra knows giving hope kingdom begs five villages clear already scared eleven divisions pandavas oppose eleven div
949,isions doubt victory ” duryodhana said father tried cheer “ son let us war ” said dhritarashtra “ satisfied half kingdom enough govern half well ” duryodhana could stand longer “ pandavas receive even needle point territory ” exclaimed left court excitemen
950,t prevailed court broke let us relate pandavas saying among sanjaya left upaplavya hastinapura yudhishthira said krishna “ vasudeva sanjaya dhritarashtra ’ alter ego speech divined dhritarashtr ’ mind dhritarashtra trying secure peace without giving us ter
951,ritory simplicity glad first heard sanjaya speak soon became clear joy unfounded struck middle line spoke desiring peace words ended message seemed commend meekness us even rights denied dhritarashtra playing fair us crisis approa ching none protect us mad
952,e offer would content five villages wicked kaurava refuse even tolerate height intransigence advise us crisis none knows duty guide us dharma well statesmanship ” krishna said reply “ good decid ed go hastinapura shall go dhritarashtra ’ court try secure r
953,ights without war mission succeeds good world ” yudhishthira said “ krishna pray go good going enemies ’ place perverse duryodhana stick folly like going among unscrupulous men let jeopardise safety kauravas stop nothing krishna answere “ dharmaput ra know
954, wicked duryod hana still make attempts peaceful solution give world cause accuse us done everything possible avert war must omit nothing matter slender hopes success fears safety kauravas offer messenger peace threat bodily harm reduce ashes ” said yudhis
955,hthi ra “ knowing know hearts well expou nding matters art persuasion none better krishna said “ yes know mind ever clings righteousness always steeped hatred jealousy enmity secure result know dear settlement reached without war even though may little sig
956,ns ominous portend war still duty demands make attempt peace ” thus saying krishna took leave pandavas set chariot hastinapura chapter lv krishna ’ mission satyaki accompanied govinda hastinapura settin g journey krishna long discussion pandavas even might
957,y bhima rather surprisingly plumped peaceful settlement “ let race destroye peace much preferred ” said poet vyasa makes bhima speak thus order show truly great warriors desire peace seek peace sign fear draupadi could forget humiliation holding locks hand
958, stood krishna voice quivering grief said “ madhusudana look tresses mine honour requires done peace honour even arjuna bhima war father old though go battle supported children even father keep children subhadra ’ son abhimanyu head fight kauravas sake dha
959,rm aputra thirteen years suppressed burning flame anger within restrain longer ” sobbed remembering great outrage krishna moved said “ weep dhritarashtra ’ sons listen words peace going fall bodies food wild dogs jackals live see us victorious insult fully
960, avenged soon ” draupadi satisfied madhava halted night near city kucasthala news krishna ’ forth coming visit came city great excitement dhritarashtra issued orders decorating city arrang ements receiving janardana full swing dhritarashtra issued instruct
961,ions duhsasana ’ palace bigger beautiful duryodhana ’ got ready placed disposal krishna entou rage shamianas erected several places outside city along route krishna ’ chariot take dhritarashtra consulted vidura said “ make arrangements presenting govinda c
962,hariots elephants presents kinds also got ready ” vidura said “ govinda bought presents give coming land kurus come seeking peaceful settlement make possible satisfy madhava gifts ” govinda reached hastin apura citizens thronged numbers decorated street ch
963,ariot could progress slowly went first dhritarashtra ’ palace proceeded vidura ’ house kuntidevi met thinking sufferings sons overpowered grief wept krishna comforted taking leave made duryodhana ’ palace duryodhana gave govinda welcom e invited dinner kri
964,shna said smile “ emissaries eat mission fulfilled may give feast work completed ” declining duryodhana ’ invitation returned v idura ’ house rested vidura krishna took counsel together vidura told duryodhana ’ arrogance based confidence one could defeat l
965,ong bhishma drona knew moral obligation abandon stood vidura said would mistake govinda even enter wicked man court knew duryodhana brothers apprehended would plot fraud deceit krishna ’ life “ say duryodha na true come hope would able secure peaceful sett
966,lement order world might hold blame fear life ” said krishna next morning duryodhana sakuni came krishna informed dhritarashtra waiting govinda went court along v idura vasudeva came court great assemblage kings stood saluting elders folded hands word smil
967,e others krishna took seat introductions govinda rose seat turning dhritarashtra explained object visit made clear pandavas wanted “ dhritarashtra bring ruin people regard bad good good bad duty restrain sons pandavas prepared war butthey desire peace wish
968, live happiness treat also sons devise honourable solution world acclaim ” said krishna dhritarashtra said “ friends know blame desire precisely madhava stated powerless wicked sons listen krishna entreat advise duryodhana ” krishna turned duryodhana said 
969,“ descendant noble line pursue path dharma present thoughts unworthy befit men low birth account famous line danger destroyed listen reason justice pandavas instal dhritaras htra king heir apparent make peace giving half kingdom ” bhishma drona also presse
970,d duryodhana listen govinda duryodhana ’ heart could softened “ pity dhritarashtra gandhari duryodhana dooming bereavement desolation misdeeds ” said v idura dhritarashtra said son “ listen govinda ’ advice race perish ” drona bhishma also tried repeatedly
971, persuade duryodhana turn error duryodhana furious everyone pressing matter agree peaceful solution rose said madhusudana wrong love pandavas others also blame think one whit blam e matter pandavas volition staked kingdom play defeated justly forfeited res
972,ponsible losing game went forests honour bound fault mine seek battle wish slay us yield threats young elders us grievous wrong giving pandavas know part kingdom shadow right acquiesced lost play l refuse return utterly blameless give pandavas inch land ev
973,en needle point ” duryodha na said committed wrong govi nda laughed said “ play fraudu lently arranged conspiracy sakuni afterwards insulted draupadi assembly princes yet impudence say committed wrong ” reminded iniquities perpetrated pandavas duhsasana se
974,eing bhishma others accepting krishna ’ indictment duryodhana said “ brother seems people plot bind ropes hand pandavas let us get away ” duryodhana accompanied brothers walked court govinda addressed court said “ sires yadavas vrishnis live happily kamsa 
975,sisupala dead order save whole people sometimes necessary sacrifice individual happen occasionally village abandoned order country may saved afraid sacrifice duryodhana want save race way ” dhritarashtra said vidura “ bring far sighted gandhari possible du
976,ryodhana might listen ” gandhari sent came court duryodhana sent duryodhana eyes red anger returned gandhari tried means power bring round reason duryodhana said “ ” walked hall frien ds plotted seize krishna news reached court govinda anticipated laughed 
977,disclosed divinity blind dhritarashtra grace krishna temporarily regained sight able see krishna v isvarupa presence every form “ pundarikaksha seen visvarupa wish see anything else ask blind ” said dhritarashtra became blind “ efforts failed duryodhana ob
978,stinate ” said dhritarashtra govinda arid krishna rose satyaki vidura either side left court went straight kunti told happened asked convey blessings sons “ time come ” said “ kshatriya woman brings forth sons may protect sons ” kshatriya mother brings for
